SHOP_NAME,ADDRESS,PHONE_NUMBER,TYPE_OF_SHOP,LATITUDE,LONGITUDE
haute(오뜨네일),서울특별시 강남구 신사동 660-6번지 ,02  544 8088,네일미용업,37.5282487335317,127.037641702359
코코네일,서울특별시 서초구 잠원동 8-22 지하1층 ,02  545 4002,네일미용업,37.5180521823343,127.018176182383
포쉬네일 압구정역점,서울특별시 강남구 신사동 603 ANdAZ ,02  547 4142,네일미용업,37.525419895071,127.028869129505
루미가넷,서울특별시 강남구 대치동 910-2 루가빌딩 ,02  547 7107,네일미용업,37.5012830381165,127.053922617497
크라스니,서울특별시 강남구 역삼동 708-23번지 지상1층 ,02  557 2030,네일미용업,37.5033341237987,127.048431312186
호박방,서울특별시 강남구 대치동 905-16 현서빌딩 ,02  562 5855,네일미용업,37.5022250882443,127.054013430067
려네일,서울특별시 서초구 방배동 790-24 1층 ,02  585 4141,네일미용업,37.4921835089874,126.986538875285
안O네일,서울특별시 종로구 창신동 5-2 ,02  60527778,네일미용업,37.579939264493,127.014890226926
눈시울,서울특별시 강남구 청담동 15-5 ,02  545 3436,"네일미용업, 화장ㆍ분장 미용업",37.5208163472908,127.046541271581
트윙클,서울특별시 동작구 사당동 1044-22 ,02  587 2313,"네일미용업, 화장ㆍ분장 미용업",37.4772392390647,126.979310086214
나나,서울특별시 성북구 동선동1가 84-1 ,02  60138698,"네일미용업, 화장ㆍ분장 미용업",37.5914193197327,127.019478579665
미 아뜨리에,서울특별시 중구 신당동 844 남산타운 ,02  5460018,미용업,37.5486807945139,127.008880476432
성수미용실,"서울특별시 강남구 논현동 227-4번지 ,1층1호 ",02  549 9602,미용업,37.5100185337311,127.034777103899
거꾸로헤어,서울특별시 강남구 논현동 181-3 미라클하우스 ,02  544 8283,일반미용업,37.5074804089667,127.025999409608
슈어뷰티살롱,서울특별시 강남구 논현동 110-24 ,02  545 0700,일반미용업,37.5184969488988,127.039733210364
에이영살롱,서울특별시 강남구 신사동 551-7 ,02  545 2951,일반미용업,37.5218948348727,127.023934379067
헤링크,서울특별시 강남구 청담동 68-9 더하우스 ,02  545 5105,일반미용업,37.5233039333064,127.054329873875
이가자 아뜰리에 청담,서울특별시 강남구 청담동 132-19 지상3층 ,02  545 5573,일반미용업,37.5211343581316,127.057111655155
모클락 강남본점,서울특별시 강남구 논현동 164 영동빌딩 ,02  545 5749,일반미용업,37.5086426988926,127.022988454509
동방의미용사,서울특별시 강남구 논현동 66 선주빌딩 ,02  545 6668,일반미용업,37.5188351220487,127.02876625679
가희,서울특별시 강남구 논현동 124-18번지 ,02  545 9527,일반미용업,37.5116429551293,127.024332070025
스타일 비,서울특별시 강남구 삼성동 10-20번지 ,02  546 1182,일반미용업,37.5153250043325,127.043462325964
헤어스크린,서울특별시 송파구 잠실동 224-7번지 1층 ,02  546 5222,일반미용업,37.5074017331075,127.081488543855
에이그로우(A.Grow),서울특별시 강남구 논현동 183-7번지 남광빌딩 1층 ,02  547 8550,일반미용업,37.5067246895866,127.02538456341
티나스타일,서울특별시 강남구 논현동 123-7 ,02  547 9448,일반미용업,37.5109803043586,127.024147152518
헤어스테이지,서울특별시 강남구 압구정동 369-1 현대아파트 ,02  548 4558,일반미용업,37.5330267381014,127.027925536556
수성헤어,서울특별시 강남구 삼성동 150-12번지 지상1층 ,02  548 7787,일반미용업,37.5114755967254,127.055224684092
주니헤어,서울특별시 강남구 논현동 219-8 ,02  549 0081,일반미용업,37.5120689155071,127.034585771921
청담라온헤어,서울특별시 강남구 청담동 132-3 청담상가 ,02  549 2393,일반미용업,37.5224060127026,127.056404584991
나나헤어,서울특별시 강남구 신사동 536-19 ,02  54977779,일반미용업,37.5190627608963,127.022776952122
장한나헤어,서울특별시 강남구 대치동 916-40번지 ,02  553 0387,일반미용업,37.5007735042249,127.057396738928
에스엠 프로헤어 대치점,서울특별시 강남구 대치동 1014-3번지 대치삼성아파트 ,02  553 3215,일반미용업,37.4963870034067,127.058401866149
비엠헤어,서울특별시 강남구 역삼동 751-10 ,02  553 3531,일반미용업,37.4949873420582,127.035630121827
로얄미용실,서울특별시 강남구 삼성동 116-28번지 ,02  553 5706,일반미용업,37.5116534722103,127.051599955962
코코헤어,서울특별시 강남구 역삼동 741-2번지 ,02  554 3012,일반미용업,37.4974504715744,127.033938398064
텍스쳐 압구정로데오점,서울특별시 강남구 신사동 639 YOHAN빌딩 ,02  555 0774,일반미용업,37.5287035028085,127.035794470051
헤어바이트(Hair VITE),서울특별시 강남구 대치동 910-15 ,02  555 1788,일반미용업,37.5009256224752,127.053893296081
