사업장명,지번주소,전화번호,업태구분명,위생업태명,좌석수,도로명주소,소재지우편번호,인허가일자
더예쁜머리,서울특별시 종로구 효제동 320-6번지 ,02  743 9700,기타,"일반미용업, 네일미용업",7,"서울특별시 종로구 종로33길 12, 2층 2호 (효제동)",110-480,2016-05-11
토리왁싱,서울특별시 종로구 종로1가 24번지 지하1층 117-2호,02  60323111,기타,"피부미용업, 네일미용업",3,"서울특별시 종로구 종로 19, 지하1층 117-2호 (종로1가)",110-121,2016-02-12
웰킨종로점,서울특별시 종로구 관철동 12-13번지 ,02  723 7710,기타,일반미용업,9,"서울특별시 종로구 종로12길 23, 9층 (관철동)",110-111,2017-03-24
손톱마녀,"서울특별시 중구 충무로1가 52-41번지 회현지하상가 바열27호,사열1호 ",,기타,종합미용업,4,"서울특별시 중구 소공로 지하 58 (충무로1가, 회현지하상가 바열27호,사열1호)",100-011,2016-04-11
워니컬,서울특별시 중구 황학동 2523번지 황학아크로타워 325호,262617171,기타,종합미용업,0,"서울특별시 중구 퇴계로 447, 3층 325호 (황학동, 황학아크로타워)",100-871,2014-05-01
예쁘다그손,서울특별시 동대문구 장안동 336번지 ,,기타,"피부미용업, 네일미용업",3,"서울특별시 동대문구 장안벚꽃로 107, 1동 1층 143호 (장안동, 장안현대홈타운)",130-840,2017-01-13
레아뷰티,서울특별시 동대문구 청량리동 235-4번지 ,,기타,종합미용업,6,"서울특별시 동대문구 왕산로 225, 1층 25호 (청량리동, 미주상가A동)",130-867,2017-08-02
플라워네일(Flower nail),서울특별시 동대문구 이문동 305-80번지 ,7075650440,기타,"피부미용업, 네일미용업",5,"서울특별시 동대문구 휘경로2길 5-16, 지상1층 (이문동)",130-831,2016-09-12
디자인페이스 카라,서울특별시 중랑구 면목동 501-1번지 ,262028812,기타,"일반미용업, 피부미용업",0,"서울특별시 중랑구 면목로57길 21, 1층 (면목동)",131-818,2015-06-02
라벨라마노,서울특별시 중랑구 상봉동 500번지 이노시티 AB동 251호호,24352838,기타,종합미용업,14,"서울특별시 중랑구 망우로 353, AB동 251호 (상봉동, 이노시티)",131-220,2013-11-27
JY헤어,서울특별시 중랑구 면목동 180-50번지 ,,기타,종합미용업,2,서울특별시 중랑구 봉우재로14길 9 (면목동),131-820,2016-02-01
기분좋은날,서울특별시 중랑구 면목동 46-1번지 ,24329433,기타,일반미용업,3,서울특별시 중랑구 용마산로96길 32 (면목동),131-811,2013-09-24
천연머리염색,서울특별시 도봉구 창동 808번지 상가동 지층02호 ,,기타,일반미용업,0,"서울특별시 도봉구 노해로69길 97, 상가동 지층 02호 (창동, 동아청솔아파트)",132-040,2016-04-26
오땡큐쌍문점,서울특별시 도봉구 쌍문동 138-73번지 지상1층 ,,기타,일반미용업,3,"서울특별시 도봉구 노해로48길 90, 지상1층 (쌍문동)",132-867,2015-07-22
옻안타는 천연염색 도봉월드점,서울특별시 도봉구 방학동 720-33번지 지상1층 118-1호 ,,기타,일반미용업,3,"서울특별시 도봉구 마들로 650, 지상1층 118-1호 (방학동)",132-854,2014-07-03
얼짱몸짱,서울특별시 은평구 응암동 96-1번지 지상1층 ,02 3030556,기타,"피부미용업, 네일미용업",4,"서울특별시 은평구 은평로 170, 지상1층 (응암동)",122-906,2015-05-11
재임헤어모드,서울특별시 은평구 응암동 98-40번지 지상1층 ,,기타,"일반미용업, 피부미용업",3,"서울특별시 은평구 은평로10길 7-21, 지상1층 (응암동)",122-908,2014-04-17
헤어& 스킨,"서울특별시 마포구 도화동 550번지 삼성아파트 제상가동 113호일부,114호전부 ",02  719 3273,기타,"일반미용업, 피부미용업",1,"서울특별시 마포구 도화길 32, 113,114호 (도화동, 삼성아파트 제상가동 113호일부,114호전부)",121-815,2016-05-02
